# theta calculated for lambda=      1.5418380 A
# Miller indeces multiplicity  2 x theta        d (A)     intensity
   -7    3   -5       24         58.5322        1.57695295      0.8454
   -8    2   -2       24         58.7459        1.57172584      0.6713
   -5    1   -7       24         58.9609        1.56650451      0.9564
   -8    3   -2       36         59.0310        1.56481368      0.9930
   -6    1   -5       24         59.5107        1.55334082      0.8406
   -7    2   -5       24         59.7048        1.54875327      0.7296
    0    0   -9        2         59.7241        1.54830000      0.0121
   -4    2   -8       12         59.8118        1.54623798      0.3828
   -8    1    0       12         60.0391        1.54092813      0.3725
   -1    0   -9       12         60.3050        1.53476766      0.0929
   -4    1   -8       24         60.3923        1.53275917      0.7476
   -8    1   -1       24         60.4431        1.53159213      0.7198
   -8    2   -2       24         60.7758        1.52400187      0.5960
   -8    4   -4       12         61.2815        1.51263450      0.3023
   -5    0   -7       12         61.2824        1.51261386      0.4049
   -2    1   -9       12         61.4570        1.50873446      0.1351
   -8    1   -2       24         61.6456        1.50457045      0.6543
   -8    3   -4       36         61.8537        1.50000843      0.8697
   -7    1   -5       24         62.0095        1.49661402      0.6095
   -2    0   -9       12         62.0283        1.49620499      0.1539
   -4    0   -8       12         62.1141        1.49434394      0.3616
   -9    3    0       12         62.3364        1.48954934      0.3252
   -6    0   -5       12         62.3890        1.48841918      0.3347
   -6    3   -7       12         62.4238        1.48767371      0.4353
   -9    3   -1       24         62.7316        1.48111139      0.6307
   -7    3   -5       24         62.9554        1.47638507      0.7053
   -6    2   -7       24         62.9900        1.47565752      0.8041
   -9    2    0       12         63.4668        1.46571501      0.3047
   -8    2   -4       24         63.5525        1.46394659      0.5151
   -8    1   -2       24         63.6204        1.46254765      0.5694
   -3    1   -9       24         63.7244        1.46041029      0.4148
   -5    2   -8       24         63.8090        1.45867948      0.7728
   -9    2   -1       24         63.8582        1.45767350      0.5894
   -9    3   -2       24         63.9092        1.45663273      0.5761
   -8    0    0        6         64.0279        1.45421903      0.1716
   -7    2   -5       24         64.0798        1.45316734      0.6148
   -8    0   -1       12         64.4174        1.44636425      0.3312
   -6    1   -7       24         64.6720        1.44128399      0.6679
   -8    4   -5       12         64.8231        1.43828980      0.2571
   -3    0   -9       12         64.8415        1.43792674      0.2262
   -5    1   -8       24         64.9252        1.43627456      0.6949
   -9    2   -2       24         65.0245        1.43432056      0.5351
   -8    3   -5       36         65.3779        1.42742240      0.7414
   -8    0   -2       12         65.5784        1.42354221      0.2994
   -9    1    0       12         65.6955        1.42128905      0.2897
   -9    3   -2       24         65.8462        1.41840049      0.4987
   -9    1   -1       24         66.0797        1.41395322      0.5591
   -7    1   -5       24         66.2973        1.40983935      0.5147
   -8    1   -4       24         66.3301        1.40922247      0.4822
   -4    2   -9       12         66.4982        1.40606726      0.2635
   -9    2   -2       24         66.9445        1.39777506      0.4602
   -8    2   -5       24         67.0277        1.39624108      0.4351
   -4    1   -9       24         67.0458        1.39590893      0.5169
   -5    0   -8       12         67.1281        1.39439725      0.3015
    0    0  -10        2         67.1787        1.39347000      0.0167
   -9    1   -2       24         67.2258        1.39260902      0.5048
   -6    0   -7       12         67.4253        1.38897319      0.2705
   -8    0   -2       12         67.4903        1.38779413      0.2577
